Ticker,Total_Features,Total_Rows,Missing_Values,Missing_Pct,Start_Date,End_Date
GSPC,108,2514,1301,0.47916850820589885,2015-01-05,2024-12-30
IXIC,108,2514,1301,0.47916850820589885,2015-01-05,2024-12-30
DJI,108,2514,1301,0.47916850820589885,2015-01-05,2024-12-30
FTSE,108,2523,1301,0.47745922696378507,2015-01-05,2024-12-30
N225,108,2443,1301,0.4930944042691894,2015-01-06,2024-12-30
HSI,108,2458,1301,0.49008528463369794,2015-01-05,2024-12-30
GDAXI,108,2534,1301,0.47538659417112455,2015-01-05,2024-12-30
AAPL,108,2514,1301,0.47916850820589885,2015-01-05,2024-12-30
MSFT,108,2514,1301,0.47916850820589885,2015-01-05,2024-12-30
GOOGL,108,2514,1301,0.47916850820589885,2015-01-05,2024-12-30
AMZN,108,2514,1301,0.47916850820589885,2015-01-05,2024-12-30
TSLA,108,2514,1301,0.47916850820589885,2015-01-05,2024-12-30
JPM,108,2514,1301,0.47916850820589885,2015-01-05,2024-12-30
XOM,108,2514,1301,0.47916850820589885,2015-01-05,2024-12-30
JNJ,108,2514,1301,0.47916850820589885,2015-01-05,2024-12-30
V,108,2514,1301,0.47916850820589885,2015-01-05,2024-12-30
WMT,108,2514,1301,0.47916850820589885,2015-01-05,2024-12-30
PG,108,2514,1301,0.47916850820589885,2015-01-05,2024-12-30
BTC_USD,108,3651,1301,0.3299451190439961,2015-01-02,2024-12-30
ETH_USD,108,2608,1301,0.4618978641217905,2017-11-10,2024-12-30
BNB_USD,108,2608,1301,0.4618978641217905,2017-11-10,2024-12-30
SOL_USD,108,1725,1301,0.6983360171765969,2020-04-11,2024-12-30
ADA_USD,108,2608,1301,0.4618978641217905,2017-11-10,2024-12-30
GC=F,108,2503,1302,0.48164424912327425,2015-01-05,2024-12-30
CL=F,108,2510,1301,0.4799321233584182,2015-01-05,2024-12-30
