Asset,Avg_KS_Stat,Avg_Mean_Diff,Quality
GSPC,0.3885679081155199,0.12307061966656235,Fair
FTSE,0.48288967607551003,0.1681170672022074,Fair
DJI,0.41287924992618613,0.13997064880010837,Fair
N225,0.3654913216987159,0.11095689883356591,Fair
HSI,0.34892720990726667,0.11022588720925978,Fair
IXIC,0.3704781198236474,0.1230304022093162,Fair
AAPL,0.38792391356022954,0.13182043923819264,Fair
GOOGL,0.3624408550896525,0.11420054524701097,Fair
AMZN,0.32095410967987315,0.1024010300174074,Fair
MSFT,0.3976288708482837,0.13333600643025248,Fair
TSLA,0.4014144109654851,0.142977270336834,Fair
