Asset,TimeGAN_MeanDiff,Diffusion_KS,Diffusion_MeanDiff,MeanDiff_Improvement,MeanDiff_Winner
GSPC,0.12055069178534886,0.3885679081155199,0.12307061966656235,0.002519927881213496,Tie
FTSE,0.03444484054392603,0.48288967607551003,0.1681170672022074,0.13367222665828138,TimeGAN
DJI,0.05589459461499599,0.41287924992618613,0.13997064880010837,0.08407605418511238,TimeGAN
N225,0.05887119924113722,0.3654913216987159,0.11095689883356591,0.05208569959242869,TimeGAN
HSI,0.02556292395546114,0.34892720990726667,0.11022588720925978,0.08466296325379864,TimeGAN
IXIC,0.06442515769209245,0.3704781198236474,0.1230304022093162,0.05860524451722375,TimeGAN
BTC-USD,,0.4406431018861073,0.17384048938044872,,N/A
AAPL,0.10555985748746487,0.38792391356022954,0.13182043923819264,0.026260581750727777,TimeGAN
GOOGL,0.10484299668286966,0.3624408550896525,0.11420054524701097,0.00935754856414131,Tie
AMZN,0.02056800884736298,0.32095410967987315,0.1024010300174074,0.08183302117004441,TimeGAN
MSFT,0.08217022940318397,0.3976288708482837,0.13333600643025248,0.05116577702706851,TimeGAN
TSLA,0.06834616886944937,0.4014144109654851,0.142977270336834,0.07463110146738462,TimeGAN
